iter	Passed	Remaining
0	1	119
1	2	117
2	3	108
3	4	100
4	5	99
5	6	99
6	7	101
7	8	99
8	9	98
9	10	97
10	11	95
11	12	94
12	13	93
13	14	91
14	16	90
15	17	89
16	18	88
17	19	87
18	20	85
19	21	85
20	22	84
21	23	83
22	24	81
23	25	80
24	26	79
25	27	78
26	28	76
27	29	75
28	30	74
29	31	73
30	32	72
31	33	70
32	34	69
33	35	68
34	36	67
35	37	66
36	38	65
37	39	64
38	40	63
39	41	62
40	42	61
41	43	59
42	44	58
43	45	57
44	46	56
45	47	55
46	48	54
47	49	53
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	56	46
55	57	45
56	58	43
57	59	42
58	60	41
59	61	40
60	62	39
61	63	38
62	63	37
63	64	36
64	65	35
65	66	34
66	68	33
67	69	32
68	70	31
69	71	30
70	72	29
71	73	28
72	74	27
73	75	26
74	76	25
75	77	24
76	78	23
77	79	22
78	79	21
79	80	20
80	81	19
81	82	18
82	83	17
83	85	16
84	86	15
85	86	14
86	87	13
87	88	12
88	90	11
89	91	10
90	92	9
91	93	8
92	94	7
93	95	6
94	96	5
95	97	4
96	97	3
97	98	2
98	99	1
99	100	0
